Date,Index,Current,Point Change,% Change,Turnover
2023-12-03,NEPSE Index,1851.23,-7.29,-0.39,964010431.27
2023-12-03,Sensitive Index,354.43,-1.65,-0.46,231693844.7
2023-12-03,Float Index,127.71,-0.49,-0.38,938543625.6
2023-12-03,Sensitive Float Index,114.86,-0.6,-0.52,231397584.7
2023-12-02,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-12-01,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-11-30,NEPSE Index,1858.53,-18.06,-0.96,1323519357.2
2023-11-30,Sensitive Index,356.08,-2.8,-0.78,295699093.0
2023-11-30,Float Index,128.2,-1.3,-1.01,1170080744.8
2023-11-30,Sensitive Float Index,115.47,-1.15,-0.99,294667864.0
2023-11-29,NEPSE Index,1876.6,-17.93,-0.94,1236642242.76
2023-11-29,Sensitive Index,358.89,-2.96,-0.81,205931438.6
2023-11-29,Float Index,129.51,-1.33,-1.01,920815678.3
2023-11-29,Sensitive Float Index,116.63,-1.03,-0.87,205306234.8
2023-11-28,NEPSE Index,1894.53,-2.17,-0.11,1280228971.85
2023-11-28,Sensitive Index,361.85,-0.86,-0.23,298148553.4
2023-11-28,Float Index,130.84,-0.13,-0.1,1229161002.1
2023-11-28,Sensitive Float Index,117.66,-0.15,-0.13,297488536.3
2023-11-27,NEPSE Index,1896.67,-11.27,-0.59,1754750755.81
2023-11-27,Sensitive Index,362.69,-2.12,-0.58,337223863.9
2023-11-27,Float Index,130.97,-0.81,-0.61,1.0
2023-11-27,Sensitive Float Index,117.82,-0.71,-0.6,336209430.5
2023-11-26,NEPSE Index,1907.95,47.75,2.56,2011763358.52
2023-11-26,Sensitive Index,364.81,7.83,2.19,440927360.7
2023-11-26,Float Index,131.78,3.3,2.56,1996891734.3
2023-11-26,Sensitive Float Index,118.54,2.37,2.04,438171590.6
2023-11-25,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-11-24,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-11-23,NEPSE Index,1860.2,9.87,0.53,1348347430.3
2023-11-23,Sensitive Index,356.98,2.76,0.78,267640228.5
2023-11-23,Float Index,128.48,0.69,0.54,1333052799.9
2023-11-23,Sensitive Float Index,116.16,1.0,0.87,267314865.5
2023-11-22,NEPSE Index,1850.33,20.67,1.13,1087098495.58
2023-11-22,Sensitive Index,354.21,2.15,0.61,219989732.6
2023-11-22,Float Index,127.79,1.23,0.97,919023595.5
2023-11-22,Sensitive Float Index,115.15,0.49,0.42,219472028.6
2023-11-21,NEPSE Index,1829.65,-23.82,-1.28,950479583.91
2023-11-21,Sensitive Index,352.05,-4.48,-1.25,297616134.6
2023-11-21,Float Index,126.56,-1.62,-1.26,936059863.2
2023-11-21,Sensitive Float Index,114.66,-1.51,-1.3,297183036.6
2023-11-20,NEPSE Index,1853.48,1.39,0.07,1099318029.69
2023-11-20,Sensitive Index,356.54,-0.5,-0.14,358226300.1
2023-11-20,Float Index,128.18,0.1,0.08,1085086278.4
2023-11-20,Sensitive Float Index,116.18,-0.3,-0.25,357664938.9
2023-11-19,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-11-18,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-11-17,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-11-16,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-11-15,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-11-14,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-11-13,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-11-12,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-11-11,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-11-10,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-11-09,NEPSE Index,1852.08,-11.85,-0.63,836005656.08
2023-11-09,Sensitive Index,357.04,-1.36,-0.38,218255330.3
2023-11-09,Float Index,128.07,-0.67,-0.52,816995854.1
2023-11-09,Sensitive Float Index,116.48,-0.45,-0.39,218127019.9
2023-11-08,NEPSE Index,1863.94,5.17,0.27,782743264.94
2023-11-08,Sensitive Index,358.4,0.21,0.05,144582106.6
2023-11-08,Float Index,128.75,0.27,0.21,681567459.0
2023-11-08,Sensitive Float Index,116.94,0.01,0.01,143982290.6
2023-11-07,NEPSE Index,1858.76,11.22,0.6,996586291.9
2023-11-07,Sensitive Index,358.19,2.46,0.69,272306009.4
2023-11-07,Float Index,128.48,0.62,0.48,892564520.0
2023-11-07,Sensitive Float Index,116.93,0.71,0.61,271737200.2
2023-11-06,NEPSE Index,1847.54,21.3,1.16,938929040.59
2023-11-06,Sensitive Index,355.73,3.33,0.94,294053391.7
2023-11-06,Float Index,127.86,1.31,1.04,883701817.9
2023-11-06,Sensitive Float Index,116.22,0.96,0.83,293528605.4
2023-11-05,NEPSE Index,1826.23,-21.46,-1.16,972367278.92
2023-11-05,Sensitive Index,352.39,-5.36,-1.49,309808951.5
2023-11-05,Float Index,126.54,-1.61,-1.25,907507569.4
2023-11-05,Sensitive Float Index,115.25,-2.09,-1.78,309532406.2
2023-11-04,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-11-03,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-11-02,NEPSE Index,1847.7,-10.86,-0.58,964477711.41
2023-11-02,Sensitive Index,357.76,-2.19,-0.6,209398596.1
2023-11-02,Float Index,128.15,-0.83,-0.64,787064339.1
2023-11-02,Sensitive Float Index,117.35,-0.89,-0.75,208895276.1
2023-11-01,NEPSE Index,1858.56,-5.83,-0.31,812089291.3
2023-11-01,Sensitive Index,359.95,-0.83,-0.23,161885190.2
2023-11-01,Float Index,128.99,-0.44,-0.34,720421371.3
2023-11-01,Sensitive Float Index,118.25,-0.29,-0.25,161519186.2
2023-10-31,NEPSE Index,1864.4,-14.29,-0.76,571483276.48
2023-10-31,Sensitive Index,360.78,-2.34,-0.64,134046667.4
2023-10-31,Float Index,129.43,-1.1,-0.84,546833298.8
2023-10-31,Sensitive Float Index,118.55,-0.95,-0.79,133535243.9
2023-10-30,NEPSE Index,1878.7,3.04,0.16,694222217.36
2023-10-30,Sensitive Index,363.13,1.18,0.32,173358644.1
2023-10-30,Float Index,130.54,0.22,0.17,617664957.8
2023-10-30,Sensitive Float Index,119.5,0.53,0.45,173157592.6
2023-10-29,NEPSE Index,1875.65,-28.18,-1.48,742925392.56
2023-10-29,Sensitive Index,361.94,-5.16,-1.4,179704922.2
2023-10-29,Float Index,130.31,-1.95,-1.47,734753836.2
2023-10-29,Sensitive Float Index,118.96,-1.82,-1.5,179485245.8
2023-10-28,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-10-27,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-10-26,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-10-25,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-10-24,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-10-23,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-10-22,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-10-21,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-10-20,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-10-19,NEPSE Index,1903.84,-4.05,-0.21,970612892.03
2023-10-19,Sensitive Index,367.11,0.13,0.03,246736720.4
2023-10-19,Float Index,132.26,-0.32,-0.24,844683515.2
2023-10-19,Sensitive Float Index,120.78,0.02,0.02,246399550.9
2023-10-18,NEPSE Index,1907.89,43.27,2.32,934894218.15
2023-10-18,Sensitive Index,366.97,8.14,2.27,240917334.7
2023-10-18,Float Index,132.59,3.15,2.43,868667600.0
2023-10-18,Sensitive Float Index,120.75,2.93,2.49,240407644.2
2023-10-17,NEPSE Index,1864.62,13.18,0.71,1008437860.61
2023-10-17,Sensitive Index,358.83,3.08,0.86,267731025.4
2023-10-17,Float Index,129.43,1.0,0.78,972213259.7
2023-10-17,Sensitive Float Index,117.82,1.1,0.94,267279647.9
2023-10-16,NEPSE Index,1851.43,-23.16,-1.23,1253291070.96
2023-10-16,Sensitive Index,355.74,-3.38,-0.94,294635190.0
2023-10-16,Float Index,128.43,-1.58,-1.22,1171557826.7
2023-10-16,Sensitive Float Index,116.71,-1.31,-1.11,292680384.5
2023-10-15,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-10-14,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-10-13,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-10-12,NEPSE Index,1874.6,-20.16,-1.06,1700129815.0
2023-10-12,Sensitive Index,359.13,-2.95,-0.81,491100441.0
2023-10-12,Float Index,130.01,-1.45,-1.1,1500144186.7
2023-10-12,Sensitive Float Index,118.03,-1.06,-0.89,490273907.6
2023-10-11,NEPSE Index,1894.76,5.16,0.27,1088547980.13
2023-10-11,Sensitive Index,362.08,0.77,0.21,290702653.7
2023-10-11,Float Index,131.46,0.34,0.26,986784755.6
2023-10-11,Sensitive Float Index,119.1,0.22,0.18,290165962.9
2023-10-10,NEPSE Index,1889.59,-19.06,-0.99,1283182145.31
2023-10-10,Sensitive Index,361.31,-3.45,-0.94,347725135.7
2023-10-10,Float Index,131.12,-1.38,-1.04,1265984073.0
2023-10-10,Sensitive Float Index,118.87,-1.24,-1.03,346635576.2
2023-10-09,NEPSE Index,1908.66,-12.58,-0.65,1170172722.08
2023-10-09,Sensitive Index,364.74,-2.83,-0.77,340318218.6
2023-10-09,Float Index,132.51,-0.94,-0.7,1143411078.84
2023-10-09,Sensitive Float Index,120.1,-1.12,-0.92,339403656.8
2023-10-08,NEPSE Index,1921.24,-35.67,-1.82,1801766294.08
2023-10-08,Sensitive Index,367.57,-5.79,-1.55,508083385.83
2023-10-08,Float Index,133.46,-2.49,-1.83,1732871966.23
2023-10-08,Sensitive Float Index,121.22,-2.07,-1.68,506179490.73
2023-10-07,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-10-06,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-10-05,NEPSE Index,1956.92,-11.04,-0.56,1106519418.19
2023-10-05,Sensitive Index,373.37,-1.53,-0.4,336228125.0
2023-10-05,Float Index,135.95,-0.78,-0.57,1093430750.5
2023-10-05,Sensitive Float Index,123.3,-0.51,-0.41,334449303.7
2023-10-04,NEPSE Index,1967.97,9.24,0.47,1189931385.36
2023-10-04,Sensitive Index,374.9,0.51,0.13,347470909.8
2023-10-04,Float Index,136.74,0.63,0.46,1173907031.3
2023-10-04,Sensitive Float Index,123.82,0.05,0.04,346129079.6
2023-10-03,NEPSE Index,1958.72,-17.56,-0.88,1199101324.81
2023-10-03,Sensitive Index,374.39,-3.66,-0.97,378465386.2
2023-10-03,Float Index,136.1,-1.19,-0.87,1163896052.4
2023-10-03,Sensitive Float Index,123.76,-1.32,-1.06,377335231.7
2023-10-02,NEPSE Index,1976.29,5.19,0.26,1737314092.32
2023-10-02,Sensitive Index,378.06,0.66,0.17,643725365.4
2023-10-02,Float Index,137.3,0.38,0.28,1710897312.2
2023-10-02,Sensitive Float Index,125.09,0.24,0.19,642020731.9
2023-10-01,NEPSE Index,1971.1,-33.2,-1.65,1830486743.11
2023-10-01,Sensitive Index,377.39,-5.55,-1.44,524446893.7
2023-10-01,Float Index,136.91,-2.31,-1.66,1654095139.7
2023-10-01,Sensitive Float Index,124.84,-1.78,-1.41,522035318.7
2023-09-30,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-09-29,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-09-28,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-09-27,NEPSE Index,2004.3,-18.6,-0.91,1814359022.2
2023-09-27,Sensitive Index,382.94,-3.29,-0.85,512089823.1
2023-09-27,Float Index,139.22,-1.22,-0.87,1776463675.1
2023-09-27,Sensitive Float Index,126.63,-1.1,-0.86,509238674.0
2023-09-26,NEPSE Index,2022.91,18.45,0.92,2093809518.53
2023-09-26,Sensitive Index,386.24,2.56,0.66,597547077.9
2023-09-26,Float Index,140.45,1.24,0.89,2036336236.4
2023-09-26,Sensitive Float Index,127.74,0.9,0.71,593371107.6
2023-09-25,NEPSE Index,2004.45,-5.89,-0.29,1565573471.78
2023-09-25,Sensitive Index,383.67,-1.94,-0.5,406808067.0
2023-09-25,Float Index,139.2,-0.42,-0.3,1454751221.3
2023-09-25,Sensitive Float Index,126.83,-0.73,-0.57,404893219.1
2023-09-24,NEPSE Index,2010.35,-19.42,-0.95,2326895206.98
2023-09-24,Sensitive Index,385.62,-3.1,-0.79,782345073.1
2023-09-24,Float Index,139.62,-1.18,-0.83,2227696739.4
2023-09-24,Sensitive Float Index,127.56,-0.88,-0.68,780295228.6
2023-09-23,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-09-22,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-09-21,NEPSE Index,2029.78,44.34,2.23,3293921368.31
2023-09-21,Sensitive Index,388.72,7.55,1.98,1045433139.5
2023-09-21,Float Index,140.81,2.97,2.15,3063799758.6
2023-09-21,Sensitive Float Index,128.44,2.27,1.8,1043040438.4
2023-09-20,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-09-19,NEPSE Index,1985.43,16.24,0.82,1176680757.49
2023-09-19,Sensitive Index,381.17,2.43,0.64,326221732.9
2023-09-19,Float Index,137.84,1.18,0.86,1146312940.9
2023-09-19,Sensitive Float Index,126.17,0.91,0.72,324194411.7
2023-09-18,NEPSE Index,1969.18,4.26,0.21,870444156.81
2023-09-18,Sensitive Index,378.73,0.04,0.01,258778475.2
2023-09-18,Float Index,136.65,0.2,0.15,858880240.0
2023-09-18,Sensitive Float Index,125.26,-0.17,-0.14,258253344.4
2023-09-17,NEPSE Index,1964.91,-42.14,-2.09,2028465610.94
2023-09-17,Sensitive Index,378.68,-8.12,-2.1,834662630.0
2023-09-17,Float Index,136.44,-2.91,-2.08,1767031369.5
2023-09-17,Sensitive Float Index,125.43,-2.74,-2.13,834312489.0
2023-09-16,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-09-15,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-09-14,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-09-13,NEPSE Index,2007.06,39.48,2.0,1495521905.76
2023-09-13,Sensitive Index,386.81,7.66,2.02,582189009.0
2023-09-13,Float Index,139.35,2.74,2.01,1458949310.1
2023-09-13,Sensitive Float Index,128.17,2.56,2.04,581507087.6
2023-09-12,NEPSE Index,1967.57,-19.42,-0.97,1135057515.51
2023-09-12,Sensitive Index,379.14,-2.5,-0.65,381921203.7
2023-09-12,Float Index,136.6,-1.36,-0.99,1111120884.6
2023-09-12,Sensitive Float Index,125.61,-1.0,-0.79,380988250.2
2023-09-11,NEPSE Index,1986.99,44.3,2.28,1518343397.24
2023-09-11,Sensitive Index,381.64,7.73,2.06,570703342.9
2023-09-11,Float Index,137.87,3.19,2.37,1488642358.5
2023-09-11,Sensitive Float Index,126.61,2.8,2.26,568816866.8
2023-09-10,NEPSE Index,1942.68,10.23,0.52,1072212418.6
2023-09-10,Sensitive Index,373.9,2.32,0.62,350530493.0
2023-09-10,Float Index,134.68,0.71,0.53,40356510.4
2023-09-10,Sensitive Float Index,123.81,0.82,0.66,350286954.0
2023-09-09,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-09-08,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-09-07,NEPSE Index,1932.45,-28.92,-1.47,1150920607.59
2023-09-07,Sensitive Index,371.58,-5.65,-1.49,400384908.3
2023-09-07,Float Index,133.97,-1.92,-1.41,1114407958.3
2023-09-07,Sensitive Float Index,122.99,-1.72,-1.38,399886713.3
2023-09-06,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-09-05,NEPSE Index,1961.37,-6.45,-0.32,796870408.04
2023-09-05,Sensitive Index,377.24,-0.47,-0.12,211405173.5
2023-09-05,Float Index,135.9,-0.5,-0.37,709805809.9
2023-09-05,Sensitive Float Index,124.71,-0.28,-0.22,210856220.2
2023-09-04,NEPSE Index,1967.83,7.04,0.35,1099139697.15
2023-09-04,Sensitive Index,377.71,1.09,0.28,327467437.7
2023-09-04,Float Index,136.41,0.41,0.3,1.0
2023-09-04,Sensitive Float Index,124.99,0.28,0.22,326795608.9
2023-09-03,NEPSE Index,1960.78,-29.81,-1.49,1186618410.86
2023-09-03,Sensitive Index,376.62,-5.09,-1.33,383420842.8
2023-09-03,Float Index,136.0,-1.98,-1.43,1148859650.0
2023-09-03,Sensitive Float Index,124.71,-1.68,-1.33,382968839.3
2023-09-02,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-09-01,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-08-31,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-08-30,NEPSE Index,1990.59,-2.82,-0.14,1130008041.15
2023-08-30,Sensitive Index,381.71,-1.13,-0.29,476789650.0
2023-08-30,Float Index,137.98,-0.18,-0.13,1104947545.0
2023-08-30,Sensitive Float Index,126.39,-0.28,-0.22,475989098.2
2023-08-29,NEPSE Index,1993.42,-5.05,-0.25,865120452.4
2023-08-29,Sensitive Index,382.85,-0.71,-0.18,280557362.6
2023-08-29,Float Index,138.17,-0.39,-0.28,796395000.5
2023-08-29,Sensitive Float Index,126.68,-0.26,-0.2,279597984.8
2023-08-28,NEPSE Index,1998.48,5.09,0.25,988628562.24
2023-08-28,Sensitive Index,383.56,1.45,0.38,303816463.9
2023-08-28,Float Index,138.57,0.43,0.31,962239771.4
2023-08-28,Sensitive Float Index,126.94,0.59,0.46,303482609.9
2023-08-27,NEPSE Index,1993.38,-20.54,-1.02,1262767876.55
2023-08-27,Sensitive Index,382.11,-3.44,-0.89,411849447.4
2023-08-27,Float Index,138.13,-1.4,-1.0,1237785089.3
2023-08-27,Sensitive Float Index,126.35,-1.19,-0.93,410867892.6
2023-08-26,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-08-25,No Record Found.,No Record Found.,No Record Found.,No Record Found.,No Record Found.
2023-08-24,NEPSE Index,2013.93,-31.52,-1.54,1550582685.37
2023-08-24,Sensitive Index,385.56,-4.72,-1.21,534329512.1
2023-08-24,Float Index,139.53,-2.16,-1.52,1524359956.0
2023-08-24,Sensitive Float Index,127.55,-1.68,-1.3,532996482.4
2023-08-23,NEPSE Index,2045.45,29.47,1.46,1510488984.6
2023-08-23,Sensitive Index,390.28,4.3,1.11,471785320.9
2023-08-23,Float Index,141.7,2.06,1.47,1499887631.4
2023-08-23,Sensitive Float Index,129.23,1.52,1.19,470556882.9
2023-08-22,NEPSE Index,2015.98,17.69,0.88,1332564769.51
2023-08-22,Sensitive Index,385.98,3.36,0.87,326295559.1
2023-08-22,Float Index,139.64,1.1,0.79,1034933156.0
2023-08-22,Sensitive Float Index,127.7,0.96,0.76,325748061.1
